specialty,state,avg_medicare_payment,total_services,unique_providers
Medical Oncology,FL,46.7106600916123,8785973.0,188
Ophthalmology,NY,120.54681339514488,4030196.9000000004,1418
Infectious Disease,TX,85.95919174835826,3331153.0,367
Nurse Practitioner,TX,53.095063064138444,9100723.0,11157
Internal Medicine,CA,77.07879028467853,14249267.1,8971
Rheumatology,FL,48.32784404985416,18015639.0,341
Medical Oncology,TX,57.84712546810683,11222088.0,376
Infectious Disease,CA,99.6966238913105,1011394.0,525
Diagnostic Radiology,FL,60.292265694624945,19970947.5,1967
Pharmacy,NY,44.84319779116219,921205.0,164
Family Practice,NY,58.427483325959514,4089200.5,3553
Hematology-Oncology,CA,63.5083607451113,21670018.0,866
Ophthalmology,FL,129.02298060972626,5057004.0,1241
Family Practice,FL,58.454368658508926,8083722.5,4697
Clinical Laboratory,CA,35.892757966693196,42366102.9,349
Internal Medicine,FL,68.97231212149427,13736402.0,6249
Ambulance Service Provider,NY,250.0384306964953,4859863.200000001,456
Nurse Practitioner,FL,59.067660079320355,8226911.4,11065
Mass Immunizer Roster Biller,PA,48.8242976491653,2984932.3,1659
Cardiology,CA,113.05035212713075,6928279.300000001,1784
Physical Therapist in Private Practice,CA,33.70189191895383,15514185.0,6309
Nurse Practitioner,CA,64.31231953724998,4624790.0,6348
Pharmacy,PA,46.62789225517622,13072560.2,133
Hematology-Oncology,PA,61.16670670694409,7553190.0,425
Ambulance Service Provider,CA,316.91183740895,7672045.199999998,260
Family Practice,CA,65.99526672159026,9428923.3,6856
Diagnostic Radiology,PA,39.818784343590416,6297701.5,1541
Hematology-Oncology,TX,61.40517911313512,15863257.0,544
Medical Oncology,PA,69.37646353201883,1554640.0,185
Mass Immunizer Roster Biller,NY,50.26259554362322,3403536.2,1800
Infectious Disease,NY,93.56094797360355,1043135.0,518
Pharmacy,CA,48.61866698030015,10376378.0,222
Ambulance Service Provider,FL,332.79264748339347,5829620.300000001,181
Nurse Practitioner,NY,56.886224061140716,4078857.1,8102
Medical Oncology,CA,67.43233216957883,4415728.0,248
Clinical Laboratory,FL,57.36150312845693,31719209.1,221
Clinical Laboratory,PA,41.06734123089932,7900218.9,76
Hematology-Oncology,FL,44.83468460739011,40903515.4,692
Ambulance Service Provider,PA,221.7557923384372,3999200.0,609
Internal Medicine,NY,69.73653920929502,11762128.2,7694
Rheumatology,TX,41.58283045050126,11234332.6,355
Internal Medicine,PA,75.59948376304607,3943250.0,4196
Physical Therapist in Private Practice,NY,34.77339854467851,13687652.7,5538
Physical Therapist in Private Practice,FL,31.410354116882772,8646594.9,2791
Diagnostic Radiology,CA,60.62196218161461,21831192.0,3086
Family Practice,PA,64.6187978182804,3965640.6,4079
Mass Immunizer Roster Biller,CA,58.19617547164981,5566274.2,2708
Mass Immunizer Roster Biller,TX,57.37643832386729,2750450.0,2329
Clinical Laboratory,NY,34.96926964954691,10383848.0,96
Pharmacy,TX,49.38818135514517,666271.0,280
Ophthalmology,TX,132.43105624080502,3720273.0,1156
Cardiology,PA,83.72328585263948,2346258.0,1056
Rheumatology,CA,57.31524782324815,9737042.2,481
Medical Oncology,NY,73.4358334697045,3002670.0,455
Rheumatology,NY,54.419845134999385,4578862.7,374
Rheumatology,PA,52.131632372326074,8551293.3,252
Internal Medicine,TX,65.98480589272481,10103299.2,5704
Diagnostic Radiology,NY,63.88144849118571,18277584.0,2440
Pharmacy,FL,49.03443668097566,8523243.0,185
Nurse Practitioner,PA,60.87371456688672,2583912.0,6384
Cardiology,FL,122.00947188313293,5680975.800000001,1444
Cardiology,NY,100.4227063706096,5414216.0,1956
Infectious Disease,FL,82.49750907192575,14617869.0,493
Physical Therapist in Private Practice,TX,30.34136325415971,6516131.0,3020
Mass Immunizer Roster Biller,FL,58.151338474478656,5177040.0,1437
Ophthalmology,PA,128.78761857212177,2558436.6,795
Cardiology,TX,107.09015682814491,4073443.7,1307
Clinical Laboratory,TX,46.09667038226987,26480804.1,314
Diagnostic Radiology,TX,45.17615789941978,10470866.5,2187
Hematology-Oncology,NY,56.046497908991995,12229894.0,591
Family Practice,TX,53.101455890368605,7687183.1,6004
Ambulance Service Provider,TX,334.9384062505952,9468021.800000003,595
Ophthalmology,CA,136.60471861487736,6239645.0,1932
Physical Therapist in Private Practice,PA,30.46797632988219,6558758.9,2842
Infectious Disease,PA,88.74159464191798,243894.0,323
